SBS1,SBS2,SBS5,SBS13,SBS15,SBS17b,SBS40,SBS44
55,0,0,0,0,0,50,0
50,0,76,0,0,0,0,0
53,0,87,0,0,0,0,0
549,0,430,0,0,0,0,412
688,0,656,0,0,0,0,1260
91,0,103,0,0,0,0,0
67,0,0,0,0,0,67,0
531,0,405,0,350,0,0,1152
49,0,70,0,0,0,0,0
1102,0,687,0,0,0,0,1283
56,0,21,0,0,0,58,0
103,0,16,0,0,0,117,0
68,0,0,0,0,0,94,0
68,0,7,0,0,0,95,0
74,0,32,0,0,0,57,0
70,0,25,0,0,0,40,0
500,0,302,0,0,0,0,506
89,0,212,0,34,0,0,0
41,0,71,0,29,0,68,0
89,0,0,0,0,0,130,0
81,0,0,0,0,0,177,0
1924,0,572,0,0,0,0,886
52,0,88,0,0,0,0,0
54,0,3,0,0,0,47,0
15,0,8,0,0,0,0,0
46,0,27,0,0,0,48,0
10,0,8,0,8,0,0,0
48,0,0,0,0,0,79,0
29,0,79,0,0,27,0,0
38,0,93,0,0,0,0,0
72,0,111,0,0,0,0,0
99,0,19,0,0,0,54,0
37,0,56,0,0,0,0,0
30,0,84,0,0,0,0,0
59,0,12,0,0,0,61,0
88,0,0,0,0,0,89,0
60,0,31,0,0,0,119,0
8,0,0,0,0,0,13,0
9,0,12,0,0,0,0,0
9,0,13,0,0,0,0,0
9,0,0,0,0,0,12,0
6,0,10,0,0,0,0,0
11,0,16,0,0,0,0,0
48,0,64,0,0,0,0,0
174,0,28,0,0,0,158,0
10,0,6,0,0,0,0,0
16,0,13,0,0,0,0,0
12,0,18,0,0,0,0,0
10,0,8,0,0,0,0,0
9,0,7,0,0,0,0,0
48,0,81,0,0,0,0,0
52,0,15,0,0,0,117,0
87,0,44,0,0,0,66,0
56,0,43,0,0,0,0,0
95,0,90,0,0,0,0,0
47,0,30,0,0,0,49,0
56,10,13,1,0,0,96,0
33,0,72,0,0,0,0,0
74,0,12,0,0,0,84,0
33,0,19,0,0,0,44,0
27,0,176,0,188,0,0,0
130,0,935,0,0,0,0,0
55,0,4,0,0,0,110,0
45,0,91,0,0,0,0,0
57,0,0,0,0,0,78,0
41,7,54,8,0,0,0,0
32,0,62,0,0,0,0,0
65,0,37,0,0,0,46,0
67,0,128,0,0,0,0,0
59,0,16,0,0,0,43,0
763,0,2261,0,0,0,0,0
34,0,23,0,0,5,23,0
62,0,0,0,0,0,115,0
53,99,39,0,0,0,224,0
54,0,0,0,0,0,87,0
41,0,0,0,0,0,91,0
59,0,17,0,0,0,49,0
36,0,16,0,0,5,64,0
47,0,40,0,0,0,0,0
38,11,86,4,0,0,0,0
55,8,35,0,0,8,75,0
33,0,82,0,0,0,0,0
36,0,77,0,0,0,0,0
65,15,49,16,0,13,0,0
830,0,206,0,0,0,0,415
78,0,0,0,0,0,110,0
56,4,81,14,0,7,83,0
57,0,17,0,0,0,119,0
0,0,0,0,0,0,0,0
32,0,17,0,0,0,64,0
55,0,66,0,0,29,0,0
81,0,10,0,0,0,64,0
68,0,14,0,0,0,66,0
37,0,65,0,0,0,0,0
45,0,20,0,0,0,45,0
45,0,4,0,0,0,41,0
70,0,0,0,0,0,91,0
66,0,28,0,0,0,62,0
41,0,61,0,0,0,0,0
34,0,79,10,17,0,227,0
49,0,78,0,0,0,0,0
54,0,51,0,0,0,0,0
68,0,118,0,0,0,0,0
47,0,0,0,0,0,49,0
46,0,56,0,0,0,0,0
82,0,55,0,0,0,0,0
39,0,76,0,0,0,0,0
48,0,18,0,0,0,69,0
24,4,51,2,0,0,0,0
48,0,37,0,0,0,47,0
40,14,72,12,0,0,0,0
67,0,8,0,0,0,35,0
45,0,59,0,0,0,0,0
88,0,12,0,0,0,92,0
30,0,33,0,0,0,37,0
54,9,55,0,0,0,0,0
30,0,31,9,0,0,53,0
25,0,83,0,0,0,0,0
74,0,0,0,0,0,97,0
76,0,6,0,0,13,0,0
97,0,0,0,0,0,135,0
55,0,0,0,0,0,69,0
36,0,63,0,0,0,0,0
80,0,31,0,0,0,66,0
203,0,363,0,445,0,0,0
49,0,15,0,0,0,75,0
31,0,23,0,0,0,23,0
68,0,83,0,0,0,0,0
32,6,32,0,0,0,36,0
75,0,101,0,0,0,0,0
52,0,0,0,0,0,77,0
67,0,0,0,0,0,86,0
74,0,0,0,0,0,74,0
833,0,469,0,323,0,0,0
53,0,38,0,0,0,26,0
54,0,87,0,0,0,0,0
47,0,88,0,0,0,0,0
681,0,525,0,0,0,0,0
39,0,21,0,22,0,142,0
59,0,10,0,0,0,68,0
46,0,32,0,0,17,0,0
39,0,94,0,0,0,0,0
47,0,59,0,0,0,0,0
44,0,52,0,0,0,0,0
51,0,0,0,0,0,105,0
59,0,67,0,0,0,0,0
38,0,32,0,0,0,47,0
56,0,28,0,0,0,93,0
56,0,24,0,0,0,51,0
42,0,20,0,0,0,41,0
76,0,48,0,0,0,67,0
48,0,80,0,0,0,0,0
