SBS1,SBS2,SBS5,SBS13,SBS15,SBS17a,SBS17b,SBS20,SBS40
15,0,89,26,0,0,0,0,77
718,0,487,0,0,0,0,208,0
375,0,399,0,0,0,0,228,0
255,0,157,0,84,0,0,96,0
24,0,13,0,0,3,3,0,19
20,15,0,1,0,0,0,0,35
72,0,37,0,0,0,0,0,163
54,0,32,0,0,0,0,0,40
64,0,110,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0
1,0,2,0,0,0,0,0,0
8,0,19,7,0,0,0,0,78
12,6,48,3,0,0,0,0,47
874,0,478,0,0,0,0,314,0
49,0,32,0,0,0,0,0,44
30,0,42,0,0,0,6,0,37
80,0,50,0,0,0,0,0,80
507,0,433,0,249,0,0,206,0
33,0,12,0,0,0,0,0,44
97,0,28,0,0,23,57,0,146
487,0,632,0,257,0,0,0,0
461,0,426,0,0,0,0,0,0
44,14,100,7,0,10,29,0,0
62,4,87,11,0,0,0,0,0
94,0,28,0,0,0,0,0,51
65,0,111,0,0,0,0,0,0
844,0,437,0,0,0,0,321,0
76,0,155,0,0,4,24,0,0
25,5,40,1,0,0,0,0,0
21,0,46,0,0,0,0,0,0
49,0,80,0,0,0,0,0,0
631,0,841,0,177,0,0,0,0
384,0,263,0,0,0,0,112,0
77,0,76,0,0,10,9,0,0
34,11,0,1,0,0,0,0,63
43,0,106,0,0,5,14,0,0
16,0,219,0,0,216,504,0,0
3,0,3,0,0,0,0,0,0
432,0,458,0,206,0,0,224,0
69,0,70,0,15,0,0,0,110
1052,0,669,0,0,0,0,340,0
414,0,406,0,189,0,0,232,0
20,0,521,0,1205,0,0,0,0
656,0,486,0,0,0,0,230,0
45,0,0,0,0,0,0,0,43
68,0,73,0,0,9,14,0,65
305,0,389,0,108,0,0,190,0
111,0,221,0,72,33,35,86,0
37,0,83,0,0,0,0,0,210
69,0,27,0,0,0,0,0,55
586,0,495,0,234,0,0,0,0
2,0,8,0,0,1,2,0,0
48,11,45,4,0,0,0,0,120
45,0,72,0,0,10,6,0,0
45,0,26,0,0,0,0,0,75
45,0,128,0,0,18,40,0,0
25,0,67,0,0,14,24,0,0
25,0,94,0,0,19,27,0,0
40,0,118,0,0,12,24,0,253
22,8,29,8,0,0,0,0,89
69,16,70,25,0,0,15,0,170
73,21,94,14,0,0,0,0,0
49,13,105,0,0,12,20,0,0
50,0,85,0,0,0,0,0,0
23,0,58,0,0,7,26,0,0
36,7,25,5,0,16,14,0,33
33,0,32,0,0,7,12,0,31
18,5,50,0,0,0,0,0,0
32,0,40,0,0,5,12,0,54
66,0,24,0,0,0,0,0,46
26,0,51,0,0,0,0,0,0
25,0,0,0,0,0,0,0,95
27,7,86,7,0,0,0,0,0
73,0,180,0,0,12,25,0,0
18,0,12,0,0,0,0,0,25
21,6,29,0,0,0,0,0,0
651,0,691,0,210,0,0,0,0
27,7,23,8,0,0,0,0,38
27,11,29,7,0,0,0,0,69
43,6,50,4,0,0,0,0,50
46,0,127,0,0,10,22,0,0
33,0,51,0,0,0,0,0,0
291,0,379,0,150,0,0,124,0
29,0,63,0,0,0,0,0,0
34,0,0,0,0,6,4,0,49
29,0,49,0,0,20,60,0,0
24,5,39,4,0,0,0,0,0
19,0,137,0,0,26,104,0,0
29,5,7,3,0,0,0,0,46
122,0,172,0,0,15,27,0,0
24,0,53,0,0,1,7,0,0
20,3,18,7,0,4,5,0,36
0,0,0,0,1,0,0,0,0
5,0,42,11,0,10,1,0,61
0,0,0,0,1,0,0,0,0
1,3,1,1,3,0,0,0,0
14,0,24,0,0,0,0,0,0
63,9,112,11,0,0,0,0,0
57,0,47,0,0,0,8,0,47
150,0,255,0,0,0,0,124,0
103,0,324,0,0,0,0,81,0
35,4,17,21,0,0,0,0,98
10,0,0,0,12,0,0,0,42
54,0,130,0,0,12,32,0,0
45,0,30,0,0,15,38,0,47
23,0,56,0,0,0,0,0,0
20,5,0,0,0,0,4,0,67
25,6,18,0,0,0,0,0,73
36,0,91,0,0,3,16,0,0
282,0,247,0,0,0,0,154,0
68,0,11,0,0,0,0,0,63
614,0,2457,0,0,0,0,0,0
39,0,67,0,0,84,169,0,0
56,20,10,10,41,7,47,0,71
70,0,0,0,0,0,0,0,65
408,0,380,0,0,0,0,110,0
22,0,96,0,0,12,31,0,0
55,0,0,0,0,9,4,0,38
51,8,0,9,0,0,0,0,86
39,6,72,0,0,7,15,0,0
19,0,74,0,0,4,3,0,55
19,9,92,6,0,21,39,0,0
8,7,56,8,0,8,30,0,0
18,0,10,0,0,8,11,0,18
227,0,308,0,0,0,0,199,0
375,0,534,0,239,0,0,196,0
6,2,5,0,0,0,0,0,0
15,7,10,0,0,0,0,0,25
353,0,566,0,321,0,0,212,0
25,0,0,0,0,0,0,0,129
94,0,315,0,134,0,0,0,0
22,0,80,0,0,5,8,0,0
60,0,22,0,0,0,0,0,25
55,0,0,0,0,0,0,0,103
906,0,1229,0,514,0,0,0,0
253,0,340,0,0,0,0,112,0
605,0,694,0,0,0,0,184,0
44,9,87,7,0,0,9,0,0
28,0,0,0,0,0,0,0,108
21,28,44,31,0,13,69,0,106
76,0,13,0,0,0,0,0,101
32,0,101,0,0,26,140,0,0
16,4,25,0,0,2,3,0,0
27,0,123,0,23,28,55,0,0
22,0,34,0,0,0,0,0,0
45,9,44,0,0,0,9,0,65
22,13,136,4,0,5,26,0,0
43,0,80,0,0,0,0,0,0
433,0,525,0,0,0,0,379,0
15,16,52,5,0,7,16,0,44
12,0,45,0,0,1,9,0,0
15,0,17,0,0,0,0,0,46
35,6,47,0,0,0,0,0,75
28,6,46,0,0,0,0,0,0
16,0,28,0,0,18,39,0,0
63,34,231,6,0,6,34,0,0
36,0,0,0,0,0,0,0,65
67,0,32,0,0,8,13,0,76
28,10,15,46,0,3,10,0,195
42,0,93,0,0,34,39,0,0
39,0,5,0,0,0,0,0,38
32,0,73,0,0,0,16,0,0
36,0,16,0,0,0,0,0,48
0,0,428,0,490,0,0,0,0
15,4,43,1,0,0,0,0,0
63,0,42,0,0,3,14,0,46
38,0,79,0,0,0,7,0,0
47,0,0,0,0,12,38,0,81
30,0,0,0,0,0,0,0,63
16,5,13,7,0,0,0,0,17
28,0,44,0,0,4,13,0,56
